occupancyApartmentWeekday;occupancyApartmentWeekend;occupancyHouseWeekday;occupancyHouseWeekend;personHeatApartmentWeekday;personHeatApartmentWeekend;personHeatHouseWeekday;personHeatHouseWeekend;appliancesApartmentWeekday;appliancesApartmentWeekend;appliancesHouseWeekday;appliancesHouseWeekend;hotWaterApartmentWeekday;hotWaterApartmentWeekend;hotWaterHouseWeekday;hotWaterHouseWeekend;lightingAvgApartmentWeekday;lightingAvgApartmentWeekend;lightingAvgHouseWeekday;lightingAvgHouseWeekend;lightingJanApartmentWeekday;lightingFebApartmentWeekday;lightingMarApartmentWeekday;lightingAprApartmentWeekday;lightingMayApartmentWeekday;lightingJunApartmentWeekday;lightingJulApartmentWeekday;lightingAugApartmentWeekday;lightingSepApartmentWeekday;lightingOctApartmentWeekday;lightingNovApartmentWeekday;lightingDecApartmentWeekday;lightingJanApartmentWeekend;lightingFebApartmentWeekend;lightingMarApartmentWeekend;lightingAprApartmentWeekend;lightingMayApartmentWeekend;lightingJunApartmentWeekend;lightingJulApartmentWeekend;lightingAugApartmentWeekend;lightingSepApartmentWeekend;lightingOctApartmentWeekend;lightingNovApartmentWeekend;lightingDecApartmentWeekend;lightingJanHouseWeekday;lightingFebHouseWeekday;lightingMarHouseWeekday;lightingAprHouseWeekday;lightingMayHouseWeekday;lightingJunHouseWeekday;lightingJulHouseWeekday;lightingAugHouseWeekday;lightingSepHouseWeekday;lightingOctHouseWeekday;lightingNovHouseWeekday;lightingDecHouseWeekday;lightingJanHouseWeekend;lightingFebHouseWeekend;lightingMarHouseWeekend;lightingAprHouseWeekend;lightingMayHouseWeekend;lightingJunHouseWeekend;lightingJulHouseWeekend;lightingAugHouseWeekend;lightingSepHouseWeekend;lightingOctHouseWeekend;lightingNovHouseWeekend;lightingDecHouseWeekend
0.938;0.906041285;0.939321188;0.88121012;68.474;67.39582097;68.57044674;64.80922761;85.0965137;79.25833176;106.6108218;102.7157244;0.015260274;0.228975443;0.007550723;0.055865423;40;3.615630326;0;1.774372704;40;40;40;40;40;40;40;40;40;40;40;40;3.799910807;3.602260259;3.222635152;3.806554019;3.834497795;3.809421403;3.361974134;3.621525197;3.70343062;3.721916654;3.361597542;3.547594272;0;0;0;0;0;0;0;0;0;0;0;0;1.549437848;1.900341244;1.690939021;1.724212812;1.839725404;1.445457836;1.921263704;2.06542678;1.590010858;2.036075794;1.541947159;1.974151518
0.938;0.906041285;0.939321188;0.882996296;68.474;66.4686011;68.57044674;64.65122351;85.13005479;79.2970772;104.2718354;101.4785686;0;0.061814279;0;0.030377939;40;0.900717547;0;0.823101751;40;40;40;40;40;40;40;40;40;40;40;40;0.907982756;0.941189379;0.772211486;0.884587814;0.922550914;1.042703533;0.812942867;0.922352708;0.87578085;0.934542391;0.876395289;0.921758089;0;0;0;0;0;0;0;0;0;0;0;0;0.708276418;0.922289437;0.857833351;0.774882374;0.83247522;0.711473037;0.790795419;0.953101468;0.745494028;0.890967041;0.741730004;0.94721726
0.938;0.906041285;0.939321188;0.884753023;68.474;66.14101382;68.57044674;64.58697068;85.11129909;79.31986827;103.9122456;101.2846801;0;0;0;0.000178484;40;0;0;0;40;40;40;40;40;40;40;40;40;40;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0.938;0.909888475;0.937611292;0.884753023;68.49849361;66.43972982;68.454347;64.58987818;85.22399772;79.47476169;103.9881122;101.3148989;0.002575342;0.001262547;0.000828508;0.000642542;40.00216438;0.000967952;0.000546062;0.000470007;40.0016129;40.00285714;40.00247312;40.00133333;40.00247312;40.00344444;40.00204301;40.0016129;40.00155556;40.0016129;40.00222222;40.0027957;0.001090134;0.000768049;0.000991031;0.001024066;0.000792825;0.001126472;0.001189237;0.000891928;0.001024066;0.000396412;0.000921659;0.001387444;0.00044341;0.000409098;0.000665115;0.000229095;0.000739016;0.000534555;0.000812918;0.00044341;0.00045819;0.000517311;0.000840015;0.00044341;0.000490351;0.000310222;0.000490351;0.000361925;0.0002802;0.000579081;0.000490351;0.000420301;0.000506696;0.000770551;0.00028954;0.000630451
0.934154566;0.918262946;0.929048;0.889466333;68.96022671;67.64519748;68.64085361;65.09966981;88.32022831;82.7226585;106.9050715;101.7196793;0.655369863;0.239631336;0.85198889;0.273508545;40.82434703;0.606796709;0.951660939;0.219659988;40.81505376;40.80369048;41.01301075;40.77222222;40.71419355;40.16844444;40.60602151;40.89655914;40.95388889;41.05204301;41.03511111;41.04806452;0.59808731;0.604235242;0.609385065;0.511520737;0.519597641;0.434101382;0.576284624;0.752589069;0.626728111;0.684604331;0.591397849;0.764283237;1.070760817;0.987972509;1.012452426;0.983657885;0.878025348;0.644902635;0.889923512;0.97335846;1.049560901;0.868935447;0.985490645;1.073790784;0.254211761;0.198929735;0.179048019;0.201158161;0.23676929;0.127108216;0.214283212;0.266120276;0.27737966;0.18759413;0.213391241;0.275997338
0.923955479;0.920680723;0.896416545;0.88903232;69.96584703;68.25066473;68.89674559;65.86818512;91.17505023;83.87751825;116.7805363;104.3772225;1.477232877;0.423230857;2.833159158;0.650930347;42.88469406;1.481017613;5.327753456;1.594199277;43.69698925;43.91619048;44.03645161;43.56077778;40.64225806;40.19088889;40.40322581;42.68580645;43.78022222;44;44.02244444;43.78139785;1.5898122;1.797125302;1.493583073;1.474142345;1.15167732;1.006554019;1.021257619;1.372479064;2.007475678;1.588424756;1.628264209;1.67821218;6.329601301;6.44059892;6.268041237;5.597861779;3.012674131;2.836731577;2.960499575;5.399697003;6.225200458;6.21579278;6.536158839;6.214166944;1.792791846;1.778036296;1.860180029;1.623235613;0.913873419;0.845892146;0.835907674;1.607159119;1.914440825;1.916850548;1.89402823;2.162586249
0.864938813;0.911179429;0.790228938;0.870361876;70.74688059;67.77827599;67.97124088;66.06411524;101.3034521;80.17691013;141.382639;115.6962236;6.263945205;0.2128906;6.432839053;0.856240239;46.99117808;2.085120889;17.0838896;4.362018652;51.77129032;51.55238095;49.33806452;44.17744444;40.46903226;40.10811111;40.13817204;41.38634409;49.85366667;51.64462366;52.048;51.79107527;2.372132204;2.659095896;2.13577127;1.841167435;1.628759724;1.567434716;1.53163867;1.543630147;2.352073733;2.446162232;2.617716334;2.382637134;23.41654658;23.12747505;19.63241326;13.16632302;9.393341463;8.533180603;8.727266009;10.50179211;20.42145857;22.86028896;23.14593356;22.56652995;5.710973346;5.82418179;4.956884172;3.543394861;2.097509719;2.163517915;2.23669924;2.643760289;5.162938835;6.02430738;5.92247557;6.177927218
0.659833333;0.896475812;0.550437477;0.832036202;58.89027648;72.3589262;50.80587488;66.96620648;119.3243676;103.4043053;131.4526338;125.5388178;5.049863014;4.400606022;4.086202514;2.003623221;47.96242009;7.642446815;21.26356918;9.85485699;58.18408602;56.71440476;43.50569892;40.44177778;40.56322581;40.207;40.19139785;40.08430108;44.05488889;56.14505376;58.09188889;57.92021505;9.971160993;10.03884134;6.377781081;5.71858679;5.919627372;5.867485919;5.810514841;5.77711709;6.595391705;9.454734651;10.31367127;10.02943363;33.87488453;32.70962199;16.50016628;11.55715922;11.71222703;11.27537228;11.20297085;10.98799098;16.91233295;31.93940066;33.67346315;33.54956952;15.30608385;14.34768109;7.320444118;5.690843286;5.594480053;5.632066594;5.883576757;5.548667297;7.481577995;13.9553781;15.66492942;16.10766698
0.486021689;0.862983818;0.352939949;0.78893118;45.28937922;76.41246849;34.33187811;70.82845998;109.2792854;125.9073396;125.9885609;161.1025767;5.826082192;7.288201502;2.412314645;3.709606889;45.31925114;15.93279044;15.70613065;18.7003882;59.39344086;46.58607143;40.30688172;40;40.59;40.15333333;40.08709677;40.00053763;40.95588889;44.69043011;51.28722222;59.61623656;24.48431693;16.39730086;12.92453298;12.88243728;13.0300778;13.03768561;13.1445419;12.69144245;13.75709165;15.01164462;19.08950333;24.62771914;31.62103241;17.86115202;10.03776374;9.251240932;10.06946754;9.600992745;9.42888815;9.143036618;11.01695304;15.29224402;22.6729286;32.35472786;36.75135722;19.76151698;12.48621765;12.08505248;12.47542993;11.98581252;12.06388568;12.11081924;13.28259139;17.12640538;25.54947521;38.44495815
0.405439954;0.790079751;0.24990899;0.703520295;40.65168196;75.91843949;25.5275399;68.13421787;110.6009087;141.4939587;136.0693979;171.069136;3.283671233;7.966214254;1.527015958;4.900004462;42.18672146;20.03157208;9.686196237;21.49228504;49.29602151;41.29011905;40.05731183;40;40.0555914;40;40;40;40.394;40.76795699;43.92077778;50.22913978;25.28110599;19.31698486;18.48164115;18.7827957;18.72751598;18.3093702;18.48947029;18.31296764;18.54736303;19.09033249;20.9608807;25.89554531;16.38059343;8.688921617;7.806821121;7.423596793;7.738536009;7.541580756;7.527177327;7.416842183;8.080336006;8.494254148;10.90294005;17.98152459;35.1060208;20.10345897;17.51266155;17.33818313;17.47280305;17.36250452;17.19092151;17.35792091;17.71349982;18.74028931;24.35446978;37.2234948
